Material_Type,Region,DWT_RMSE,DWT_MAE,DWT_Correlation,DWT_Max_Error,EMD_RMSE,EMD_MAE,EMD_Correlation,EMD_Max_Error
0,0,3.180799423400561e-13,2.1507582040123033e-13,1.0,1.1368683772161603e-12,0.0,0.0,1.0,0.0
0,1,2.939480086033193e-13,2.10247773606963e-13,1.0,9.094947017729282e-13,0.0,0.0,1.0,0.0
0,2,2.1408581850400554e-13,1.5695706842495547e-13,0.9999999999999999,4.547473508864641e-13,0.0,0.0,0.9999999999999999,0.0
0,3,3.221145488716304e-13,2.2277336670529807e-13,1.0,9.094947017729282e-13,0.0,0.0,1.0,0.0
1,0,1.567130483366402e-13,9.485290046284671e-14,0.9999999999999999,5.684341886080801e-13,0.0,0.0,0.9999999999999999,0.0
1,1,1.3186153820125338e-13,8.016379582934464e-14,1.0,6.821210263296962e-13,0.0,0.0,1.0,0.0
1,3,1.1898395264040461e-13,6.852638115070967e-14,1.0,5.684341886080801e-13,0.0,0.0,1.0,0.0
2,0,1.6985233728650568e-13,1.1792276556941663e-13,1.0,5.684341886080801e-13,0.0,0.0,0.9999999999999999,0.0
2,1,1.1826882602657152e-13,8.025489105187799e-14,1.0,3.410605131648481e-13,0.0,0.0,1.0,0.0
2,3,1.060231286547933e-13,7.649721312237745e-14,1.0,3.410605131648481e-13,0.0,0.0,1.0,0.0
3,0,3.3663887910308395e-13,2.113864638886298e-13,1.0,1.1368683772161603e-12,0.0,0.0,1.0,0.0
3,1,2.812265324415193e-13,1.699381376359573e-13,1.0,1.1368683772161603e-12,0.0,0.0,1.0,0.0
3,2,5.67064114729247e-14,2.7180876016670146e-14,1.0,2.2737367544323206e-13,0.0,0.0,1.0,0.0
3,3,2.0113843700956686e-13,1.2056452702288367e-13,0.9999999999999996,9.094947017729282e-13,0.0,0.0,0.9999999999999998,0.0
4,0,3.5906436622305056e-13,2.3894276870496705e-13,1.0,1.3642420526593924e-12,0.0,0.0,1.0,0.0
4,1,3.3465791147021327e-13,2.3302157924029953e-13,1.0,1.1368683772161603e-12,0.0,0.0,1.0,0.0
4,2,1.7507960855047152e-13,1.234568003383174e-13,1.0,5.684341886080801e-13,0.0,0.0,1.0,0.0
4,3,3.654423115802382e-13,2.6189876478337025e-13,0.9999999999999997,1.1368683772161603e-12,0.0,0.0,0.9999999999999998,0.0
5,0,3.251039606015069e-15,1.8041582851077923e-15,1.0,1.4210854715202004e-14,0.0,0.0,1.0,0.0
5,1,3.359291096045099e-15,2.1829326540823146e-15,0.9999999999999999,1.4210854715202004e-14,0.0,0.0,1.0,0.0
5,3,3.952584916277916e-15,2.3762792615033257e-15,0.9999999999999997,1.4210854715202004e-14,0.0,0.0,1.0,0.0
